#   Criação de Coelhos - TocaFeliz
#   Dados mensurados no lote C
#   Em 16/07/2020
#
#  Massa (g)    Temperatura (⁰F)    Comprimento (cm)
        2145              100.04                30.6
        2235              100.94                31.8
        2325              103.64                33.0
        2415              100.94                34.2
        2505              103.46                35.4
        2595              102.38                36.6
        2685              101.84                37.8
        2738              101.66                39.0
        2188              100.22                28.8
        2168              100.76                30.8
        2186              102.38                31.0
        2391              100.04                34.2
        2705              101.12                36.1
        2880              103.82                37.0
        2927              100.76                34.8
        2464              103.10                38.2
        2319              102.92                30.5
        2363              102.38                29.6
        2076              104.00                28.2
        2630              100.76                31.8
        2543              102.74                33.6
        2679              102.56                35.1
        3044              101.48                36.5
        2341              102.38                40.9
        2363              102.92                28.5
        2298              102.92                30.2
        2404              102.56                34.4
        2391              104.00                32.1
        3030              102.92                37.2
        3082              100.22                34.7
